Winner_Cleaned,Loser_Cleaned,wiki_url,fighter1,fighter2,bestfightodds_winner,bestfightodds_loser,WeightClass,Winner,Outcome,Loser,Method,Round,Time,Notes,Card,Winner_url,Loser_url,event_order,Method_Cleaned,Card_Cleaned,Champion,Interim_Champion,fight_odds_url,Card_Date,#,Event
James Te Huna,Igor Pokrajac,https://en.wikipedia.org/wiki/UFC_110,Igor Pokrajac,James Te Huna,James Te Huna,Igor Pokrajac,Light Heavyweight,James Te Huna,def,Igor Pokrajac,TKO (punches),3.0,3:26,,Preliminary card,https://en.wikipedia.org/wiki/James_Te_Huna,https://en.wikipedia.org/wiki/Igor_Pokrajac,9,KO,Prelim,,,https://www.bestfightodds.com/events/ufc-110-nogueira-vs-velasquez-225,2010-02-21,146,UFC 110: Nogueira vs. Velasquez
Mirko Cro Cop,Anthony Perosh,https://en.wikipedia.org/wiki/UFC_110,Anthony Perosh,Mirko Filipovic,Mirko Filipovic,Anthony Perosh,Heavyweight,Mirko Cro Cop,def,Anthony Perosh,TKO (doctor stoppage),2.0,5:00,,Main card,https://en.wikipedia.org/wiki/Mirko_Cro_Cop,https://en.wikipedia.org/wiki/Anthony_Perosh,5,KO,Main Event,,,https://www.bestfightodds.com/events/ufc-110-nogueira-vs-velasquez-225,2010-02-21,146,UFC 110: Nogueira vs. Velasquez
Chael Sonnen,Nate Marquardt,https://en.wikipedia.org/wiki/UFC_109,Chael Sonnen,Nate Marquardt,Chael Sonnen,Nate Marquardt,Middleweight,Chael Sonnen,def,Nate Marquardt,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,,Main card,https://en.wikipedia.org/wiki/Chael_Sonnen,https://en.wikipedia.org/wiki/Nate_Marquardt,2,Unanimous Decision,Main Event,,,https://www.bestfightodds.com/search?query=UFC%20109%3A%20Relentless,2010-02-06,145,UFC 109: Relentless
Chris Tuchscherer,Tim Hague,https://en.wikipedia.org/wiki/UFC_109,Chris Tuchscherer,Tim Hague,Chris Tuchscherer,Tim Hague,Heavyweight,Chris Tuchscherer,def,Tim Hague,"Decision (majority) (29–28, 29–28, 28–28)",3.0,5:00,,Preliminary card,https://en.wikipedia.org/wiki/Chris_Tuchscherer,https://en.wikipedia.org/wiki/Tim_Hague,10,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/search?query=UFC%20109%3A%20Relentless,2010-02-06,145,UFC 109: Relentless
Randy Couture,Mark Coleman,https://en.wikipedia.org/wiki/UFC_109,Mark Coleman,Randy Couture,Randy Couture,Mark Coleman,Light Heavyweight,Randy Couture,def,Mark Coleman,Technical Submission (rear-naked choke),2.0,1:09,,Main card,https://en.wikipedia.org/wiki/Randy_Couture,https://en.wikipedia.org/wiki/Mark_Coleman,1,Sub,Main Event,,,https://www.bestfightodds.com/search?query=UFC%20109%3A%20Relentless,2010-02-06,145,UFC 109: Relentless
Paulo Thiago,Mike Swick,https://en.wikipedia.org/wiki/UFC_109,Mike Swick,Paulo Thiago,Paulo Thiago,Mike Swick,Welterweight,Paulo Thiago,def,Mike Swick,Technical Submission (D'Arce choke),2.0,1:54,,Main card,https://en.wikipedia.org/wiki/Paulo_Thiago,https://en.wikipedia.org/wiki/Mike_Swick,3,Sub,Main Event,,,https://www.bestfightodds.com/search?query=UFC%20109%3A%20Relentless,2010-02-06,145,UFC 109: Relentless
Demian Maia,Dan Miller,https://en.wikipedia.org/wiki/UFC_109,Dan Miller,Demian Maia,Demian Maia,Dan Miller,Middleweight,Demian Maia,def,Dan Miller,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,5:00,,Main card,https://en.wikipedia.org/wiki/Demian_Maia,https://en.wikipedia.org/wiki/Dan_Miller_(fighter),4,Unanimous Decision,Main Event,,,https://www.bestfightodds.com/search?query=UFC%20109%3A%20Relentless,2010-02-06,145,UFC 109: Relentless
Matt Serra,Frank Trigg,https://en.wikipedia.org/wiki/UFC_109,Frank Trigg,Matt Serra,Matt Serra,Frank Trigg,Welterweight,Matt Serra,def,Frank Trigg,KO (punches),1.0,2:23,,Main card,https://en.wikipedia.org/wiki/Matt_Serra,https://en.wikipedia.org/wiki/Frank_Trigg,5,KO,Main Event,,,https://www.bestfightodds.com/search?query=UFC%20109%3A%20Relentless,2010-02-06,145,UFC 109: Relentless
Mac Danzig,Justin Buchholz,https://en.wikipedia.org/wiki/UFC_109,Justin Buchholz,Mac Danzig,Mac Danzig,Justin Buchholz,Lightweight,Mac Danzig,def,Justin Buchholz,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,,Televised (Spike TV),https://en.wikipedia.org/wiki/Mac_Danzig,https://en.wikipedia.org/wiki/Justin_Buchholz,6,Unanimous Decision,,,,https://www.bestfightodds.com/search?query=UFC%20109%3A%20Relentless,2010-02-06,145,UFC 109: Relentless
Rob Emerson,Phillipe Nover,https://en.wikipedia.org/wiki/UFC_109,Phillipe Nover,Rob Emerson,Rob Emerson,Phillipe Nover,Lightweight,Rob Emerson,def,Phillipe Nover,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,,Televised (Spike TV),https://en.wikipedia.org/wiki/Rob_Emerson,https://en.wikipedia.org/wiki/Phillipe_Nover,8,Unanimous Decision,,,,https://www.bestfightodds.com/search?query=UFC%20109%3A%20Relentless,2010-02-06,145,UFC 109: Relentless
Phil Davis,Brian Stann,https://en.wikipedia.org/wiki/UFC_109,Brian Stann,Phil Davis,Phil Davis,Brian Stann,Light Heavyweight,Phil Davis,def,Brian Stann,"Decision (unanimous) (30–27, 30–26, 30–26)",3.0,5:00,,Televised (Spike TV),https://en.wikipedia.org/wiki/Phil_Davis_(fighter),https://en.wikipedia.org/wiki/Brian_Stann,9,Unanimous Decision,,,,https://www.bestfightodds.com/search?query=UFC%20109%3A%20Relentless,2010-02-06,145,UFC 109: Relentless
Melvin Guillard,Ronys Torres,https://en.wikipedia.org/wiki/UFC_109,Melvin Guillard,Ronnys Torres,Melvin Guillard,Ronnys Torres,Lightweight,Melvin Guillard,def,Ronys Torres,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,,Televised (Spike TV),https://en.wikipedia.org/wiki/Melvin_Guillard,,7,Unanimous Decision,,,,https://www.bestfightodds.com/search?query=UFC%20109%3A%20Relentless,2010-02-06,145,UFC 109: Relentless
Joey Beltran,Rolles Gracie Jr.,https://en.wikipedia.org/wiki/UFC_109,Joey Beltran,Rolles Gracie,Joey Beltran,Rolles Gracie,Heavyweight,Joey Beltran,def,Rolles Gracie Jr.,TKO (punches),2.0,1:31,,Preliminary card,https://en.wikipedia.org/wiki/Joey_Beltran,https://en.wikipedia.org/wiki/Rolles_Gracie_Jr.,11,KO,Prelim,,,https://www.bestfightodds.com/search?query=UFC%20109%3A%20Relentless,2010-02-06,145,UFC 109: Relentless
Gray Maynard,Nate Diaz,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maynard_vs._Diaz,Gray Maynard,Nate Diaz,Gray Maynard,Nate Diaz,Lightweight,Gray Maynard,def,Nate Diaz,"Decision (split) (28–29, 30–27, 29–28)",3.0,5:00,,Main card (Spike TV),https://en.wikipedia.org/wiki/Gray_Maynard,https://en.wikipedia.org/wiki/Nate_Diaz,1,Split Decision,Main Event,,,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224,2010-01-11,144,UFC Fight Night: Maynard vs. Diaz
Aaron Simpson,Tom Lawlor,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maynard_vs._Diaz,Aaron Simpson,Tom Lawlor,Aaron Simpson,Tom Lawlor,Middleweight,Aaron Simpson,def,Tom Lawlor,"Decision (split) (28–29, 29–28, 29–28)",3.0,5:00,,Main card (Spike TV),https://en.wikipedia.org/wiki/Aaron_Simpson_(fighter),https://en.wikipedia.org/wiki/Tom_Lawlor,3,Split Decision,Main Event,,,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224,2010-01-11,144,UFC Fight Night: Maynard vs. Diaz
Amir Sadollah,Brad Blackburn,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maynard_vs._Diaz,Amir Sadollah,Brad Blackburn,Amir Sadollah,Brad Blackburn,Welterweight,Amir Sadollah,def,Brad Blackburn,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,,Main card (Spike TV),https://en.wikipedia.org/wiki/Amir_Sadollah,https://en.wikipedia.org/wiki/Brad_Blackburn,4,Unanimous Decision,Main Event,,,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224,2010-01-11,144,UFC Fight Night: Maynard vs. Diaz
Chris Leben,Jay Silva,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maynard_vs._Diaz,Chris Leben,Jay Silva,Chris Leben,Jay Silva,Middleweight,Chris Leben,def,Jay Silva,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,,Preliminary card,https://en.wikipedia.org/wiki/Chris_Leben,https://en.wikipedia.org/wiki/Jay_Silva,5,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224,2010-01-11,144,UFC Fight Night: Maynard vs. Diaz
Gerald Harris,John Salter,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maynard_vs._Diaz,Gerald Harris,John Salter,Gerald Harris,John Salter,Middleweight,Gerald Harris,def,John Salter,TKO (punches),3.0,3:24,,Preliminary card,https://en.wikipedia.org/wiki/Gerald_Harris_(fighter),https://en.wikipedia.org/wiki/John_Salter_(fighter),10,KO,Prelim,,,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224,2010-01-11,144,UFC Fight Night: Maynard vs. Diaz
Evan Dunham,Efrain Escudero,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maynard_vs._Diaz,Efrain Escudero,Evan Dunham,Evan Dunham,Efrain Escudero,Lightweight,Evan Dunham,def,Efrain Escudero,Submission (armbar),3.0,1:59,,Main card (Spike TV),https://en.wikipedia.org/wiki/Evan_Dunham,https://en.wikipedia.org/wiki/Efrain_Escudero,2,Sub,Main Event,,,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224,2010-01-11,144,UFC Fight Night: Maynard vs. Diaz
Rick Story,Jesse Lennox,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maynard_vs._Diaz,Jesse Lennox,Rick Story,Rick Story,Jesse Lennox,Welterweight,Rick Story,def,Jesse Lennox,"Decision (split) (30–27, 30–27, 28–29)",3.0,5:00,"Due to a scoring error, this bout was initially announced as a majority decision.",Preliminary card,https://en.wikipedia.org/wiki/Rick_Story,https://en.wikipedia.org/wiki/Jesse_Lennox,6,Split Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224,2010-01-11,144,UFC Fight Night: Maynard vs. Diaz
Thiago Tavares,Nik Lentz,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maynard_vs._Diaz,Nik Lentz,Thiago Tavares,Thiago Tavares,Nik Lentz,Lightweight,Thiago Tavares,vs,Nik Lentz,"Draw (majority) (28–28, 28–28, 27–29)",3.0,5:00,Tavares had 1 point deducted in round 3 for a second kick to the groin.,Preliminary card,https://en.wikipedia.org/wiki/Thiago_Tavares,https://en.wikipedia.org/wiki/Nik_Lentz,7,,Prelim,,,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224,2010-01-11,144,UFC Fight Night: Maynard vs. Diaz
Rory MacDonald,Mike Guymon,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maynard_vs._Diaz,Mike Guymon,Rory Macdonald,Rory Macdonald,Mike Guymon,Welterweight,Rory MacDonald,def,Mike Guymon,Submission (armbar),1.0,4:27,,Preliminary card,https://en.wikipedia.org/wiki/Rory_MacDonald_(fighter),https://en.wikipedia.org/wiki/Mike_Guymon,8,Sub,Prelim,,,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224,2010-01-11,144,UFC Fight Night: Maynard vs. Diaz
Rafael dos Anjos,Kyle Bradley,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maynard_vs._Diaz,Kyle Bradley,Rafael Dos Anjos,Rafael Dos Anjos,Kyle Bradley,Lightweight,Rafael dos Anjos,def,Kyle Bradley,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,,Preliminary card,https://en.wikipedia.org/wiki/Rafael_dos_Anjos,https://en.wikipedia.org/wiki/Kyle_Bradley,9,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224,2010-01-11,144,UFC Fight Night: Maynard vs. Diaz
Nick Catone,Jesse Forbes,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maynard_vs._Diaz,Jesse Forbes,Nick Catone,Nick Catone,Jesse Forbes,Middleweight,Nick Catone,def,Jesse Forbes,"Decision (split) (28–29, 29–28, 29–28)",3.0,5:00,,Preliminary card,https://en.wikipedia.org/wiki/Nick_Catone,https://en.wikipedia.org/wiki/Jesse_Forbes,11,Split Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224,2010-01-11,144,UFC Fight Night: Maynard vs. Diaz
Rashad Evans,Thiago Silva,https://en.wikipedia.org/wiki/UFC_108,Rashad Evans,Thiago Silva,Rashad Evans,Thiago Silva,Light Heavyweight,Rashad Evans,def,Thiago Silva,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,,Main card,https://en.wikipedia.org/wiki/Rashad_Evans,https://en.wikipedia.org/wiki/Thiago_Silva_(fighter),1,Unanimous Decision,Main Event,,,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219,2010-01-02,143,UFC 108: Evans vs. Silva
Cole Miller,Dan Lauzon,https://en.wikipedia.org/wiki/UFC_108,Cole Miller,Dan Lauzon,Cole Miller,Dan Lauzon,Lightweight,Cole Miller,def,Dan Lauzon,Submission (reverse triangle and kimura),1.0,3:05,This bout aired on the PPV broadcast following the Miller vs. Ludwig fight.,Televised (Spike TV),https://en.wikipedia.org/wiki/Cole_Miller,https://en.wikipedia.org/wiki/Dan_Lauzon,7,Sub,,,,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219,2010-01-02,143,UFC 108: Evans vs. Silva
Mark Muñoz,Ryan Jensen,https://en.wikipedia.org/wiki/UFC_108,Mark Munoz,Ryan Jensen,Mark Munoz,Ryan Jensen,Middleweight,Mark Muñoz,def,Ryan Jensen,Submission (punches),1.0,2:30,This bout aired on the Spike broadcast following the Kampmann vs. Volkmann fight. This bout also aired on the PPV broadcast following the Hazelett vs. Daley fight.,Preliminary card,https://en.wikipedia.org/wiki/Mark_Mu%C3%B1oz,https://en.wikipedia.org/wiki/Ryan_Jensen_(fighter),8,Sub,Prelim,,,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219,2010-01-02,143,UFC 108: Evans vs. Silva
Jake Ellenberger,Mike Pyle,https://en.wikipedia.org/wiki/UFC_108,Jake Ellenberger,Mike Pyle,Jake Ellenberger,Mike Pyle,Welterweight,Jake Ellenberger,def,Mike Pyle,TKO (punches),2.0,0:22,This bout aired on the Spike broadcast following the Miller vs. Lauzon fight. This bout also aired last on the PPV broadcast following the Evans vs. Silva fight.,Preliminary card,https://en.wikipedia.org/wiki/Jake_Ellenberger,https://en.wikipedia.org/wiki/Mike_Pyle_(fighter),9,KO,Prelim,,,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219,2010-01-02,143,UFC 108: Evans vs. Silva
Paul Daley,Dustin Hazelett,https://en.wikipedia.org/wiki/UFC_108,Dustin Hazelett,Paul Daley,Paul Daley,Dustin Hazelett,Catchweight (172 lb),Paul Daley,def,Dustin Hazelett,KO (punches),1.0,2:24,,Main card,https://en.wikipedia.org/wiki/Paul_Daley,https://en.wikipedia.org/wiki/Dustin_Hazelett,2,KO,Main Event,,,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219,2010-01-02,143,UFC 108: Evans vs. Silva
Sam Stout,Joe Lauzon,https://en.wikipedia.org/wiki/UFC_108,Joe Lauzon,Sam Stout,Sam Stout,Joe Lauzon,Lightweight,Sam Stout,def,Joe Lauzon,"Decision (unanimous)  (30–26, 30–27, 30–27)",3.0,5:00,,Main card,https://en.wikipedia.org/wiki/Sam_Stout,https://en.wikipedia.org/wiki/Joe_Lauzon,3,Unanimous Decision,Main Event,,,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219,2010-01-02,143,UFC 108: Evans vs. Silva
Jim Miller,Duane Ludwig,https://en.wikipedia.org/wiki/UFC_108,Duane Ludwig,Jim Miller,Jim Miller,Duane Ludwig,Lightweight,Jim Miller,def,Duane Ludwig,Submission (armbar),1.0,2:31,,Main card,https://en.wikipedia.org/wiki/Jim_Miller_(fighter),https://en.wikipedia.org/wiki/Duane_Ludwig,4,Sub,Main Event,,,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219,2010-01-02,143,UFC 108: Evans vs. Silva
Junior dos Santos,Gilbert Yvel,https://en.wikipedia.org/wiki/UFC_108,Gilbert Yvel,Junior Dos Santos,Junior Dos Santos,Gilbert Yvel,Heavyweight,Junior dos Santos,def,Gilbert Yvel,TKO (punches),1.0,2:07,,Main card,https://en.wikipedia.org/wiki/Junior_dos_Santos,https://en.wikipedia.org/wiki/Gilbert_Yvel,5,KO,Main Event,,,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219,2010-01-02,143,UFC 108: Evans vs. Silva
Martin Kampmann,Jacob Volkmann,https://en.wikipedia.org/wiki/UFC_108,Jacob Volkmann,Martin Kampmann,Martin Kampmann,Jacob Volkmann,Welterweight,Martin Kampmann,def,Jacob Volkmann,Submission (ninja choke),1.0,4:03,This bout aired on the PPV broadcast following the Lauzon vs. Stout fight.,Televised (Spike TV),https://en.wikipedia.org/wiki/Martin_Kampmann,https://en.wikipedia.org/wiki/Jacob_Volkmann,6,Sub,,,,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219,2010-01-02,143,UFC 108: Evans vs. Silva
Rafaello Oliveira,John Gunderson,https://en.wikipedia.org/wiki/UFC_108,John Gunderson,Rafaello Oliveira,Rafaello Oliveira,John Gunderson,Lightweight,Rafaello Oliveira,def,John Gunderson,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,,Preliminary card,https://en.wikipedia.org/wiki/Rafaello_Oliveira,https://en.wikipedia.org/wiki/John_Gunderson,10,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-108-evans-vs-silva-219,2010-01-02,143,UFC 108: Evans vs. Silva
B.J. Penn,Diego Sanchez,https://en.wikipedia.org/wiki/UFC_107,B.J. Penn,Diego Sanchez,B.J. Penn,Diego Sanchez,Lightweight,B.J. Penn (c),def,Diego Sanchez,TKO (doctor stoppage),5.0,2:37,For the Lightweight Championship,Main card,https://en.wikipedia.org/wiki/B.J._Penn,https://en.wikipedia.org/wiki/Diego_Sanchez,1,KO,Main Event,B.J. Penn,,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189,2009-12-12,142,UFC 107: Penn vs. Sanchez
Jon Fitch,Mike Pierce,https://en.wikipedia.org/wiki/UFC_107,Jon Fitch,Mike Pierce,Jon Fitch,Mike Pierce,Welterweight,Jon Fitch,def,Mike Pierce,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,,Main card,https://en.wikipedia.org/wiki/Jon_Fitch,https://en.wikipedia.org/wiki/Mike_Pierce,3,Unanimous Decision,Main Event,,,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189,2009-12-12,142,UFC 107: Penn vs. Sanchez
Alan Belcher,Wilson Gouveia,https://en.wikipedia.org/wiki/UFC_107,Alan Belcher,Wilson Gouveia,Alan Belcher,Wilson Gouveia,Catchweight (195 lb),Alan Belcher,def,Wilson Gouveia,TKO (punches),1.0,3:03,,Preliminary card,https://en.wikipedia.org/wiki/Alan_Belcher,https://en.wikipedia.org/wiki/Wilson_Gouveia,6,KO,Prelim,,,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189,2009-12-12,142,UFC 107: Penn vs. Sanchez
Matt Wiman,Shane Nelson,https://en.wikipedia.org/wiki/UFC_107,Matt Wiman,Shane Nelson,Matt Wiman,Shane Nelson,Lightweight,Matt Wiman,def,Shane Nelson,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,,Preliminary card,https://en.wikipedia.org/wiki/Matt_Wiman,https://en.wikipedia.org/wiki/Shane_Nelson_(fighter),7,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189,2009-12-12,142,UFC 107: Penn vs. Sanchez
Johny Hendricks,Ricardo Funch,https://en.wikipedia.org/wiki/UFC_107,Johny Hendricks,Ricardo Funch,Johny Hendricks,Ricardo Funch,Welterweight,Johny Hendricks,def,Ricardo Funch,"Decision (unanimous) (30–27, 30–27, 30–25)",3.0,5:00,,Preliminary card,https://en.wikipedia.org/wiki/Johny_Hendricks,https://en.wikipedia.org/wiki/Ricardo_Funch,8,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189,2009-12-12,142,UFC 107: Penn vs. Sanchez
DaMarques Johnson,Edgar Garcia,https://en.wikipedia.org/wiki/UFC_107,Damarques Johnson,Edgar Garcia,Damarques Johnson,Edgar Garcia,Welterweight,DaMarques Johnson,def,Edgar Garcia,Submission (triangle choke),1.0,4:03,,Preliminary card,https://en.wikipedia.org/wiki/DaMarques_Johnson,https://en.wikipedia.org/wiki/Edgar_Garcia,10,Sub,Prelim,,,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189,2009-12-12,142,UFC 107: Penn vs. Sanchez
Frank Mir,Cheick Kongo,https://en.wikipedia.org/wiki/UFC_107,Cheick Kongo,Frank Mir,Frank Mir,Cheick Kongo,Heavyweight,Frank Mir,def,Cheick Kongo,Technical Submission (guillotine choke),1.0,1:12,,Main card,https://en.wikipedia.org/wiki/Frank_Mir,https://en.wikipedia.org/wiki/Cheick_Kongo,2,Sub,Main Event,,,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189,2009-12-12,142,UFC 107: Penn vs. Sanchez
Kenny Florian,Clay Guida,https://en.wikipedia.org/wiki/UFC_107,Clay Guida,Kenny Florian,Kenny Florian,Clay Guida,Lightweight,Kenny Florian,def,Clay Guida,Submission (rear-naked choke),2.0,2:19,,Main card,https://en.wikipedia.org/wiki/Kenny_Florian,https://en.wikipedia.org/wiki/Clay_Guida,4,Sub,Main Event,,,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189,2009-12-12,142,UFC 107: Penn vs. Sanchez
Stefan Struve,Paul Buentello,https://en.wikipedia.org/wiki/UFC_107,Paul Buentello,Stefan Struve,Stefan Struve,Paul Buentello,Heavyweight,Stefan Struve,def,Paul Buentello,"Decision (majority) (29–28, 29–28, 28–28)",3.0,5:00,,Main card,https://en.wikipedia.org/wiki/Stefan_Struve,https://en.wikipedia.org/wiki/Paul_Buentello,5,Unanimous Decision,Main Event,,,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189,2009-12-12,142,UFC 107: Penn vs. Sanchez
Rousimar Palhares,Lucio Linhares,https://en.wikipedia.org/wiki/UFC_107,Lucio Linhares,Rousimar Palhares,Rousimar Palhares,Lucio Linhares,Middleweight,Rousimar Palhares,def,Lucio Linhares,Submission (heel hook),2.0,3:21,,Preliminary card,https://en.wikipedia.org/wiki/Rousimar_Palhares,,9,Sub,Prelim,,,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189,2009-12-12,142,UFC 107: Penn vs. Sanchez
TJ Grant,Kevin Burns,https://en.wikipedia.org/wiki/UFC_107,Kevin Burns,T.J. Grant,T.J. Grant,Kevin Burns,Welterweight,TJ Grant,def,Kevin Burns,TKO (punches),1.0,4:57,,Preliminary card,https://en.wikipedia.org/wiki/TJ_Grant,https://en.wikipedia.org/wiki/Kevin_Burns_(fighter),11,KO,Prelim,,,https://www.bestfightodds.com/events/ufc-107-penn-vs-sanchez-189,2009-12-12,142,UFC 107: Penn vs. Sanchez
Frankie Edgar,Matt Veach,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Heavyweights_Finale,Frankie Edgar,Matt Veach,Frankie Edgar,Matt Veach,Lightweight,Frankie Edgar,def,Matt Veach,Submission (rear-naked choke),2.0,2:22,,Main card,https://en.wikipedia.org/wiki/Frankie_Edgar,https://en.wikipedia.org/wiki/Matt_Veach,4,Sub,Main Event,,,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210,2009-12-05,141,The Ultimate Fighter: Heavyweights Finale
Jon Madsen,Justin Wren,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Heavyweights_Finale,Jon Madsen,Justin Wren,Jon Madsen,Justin Wren,Heavyweight,Jon Madsen,def,Justin Wren,"Decision (split) (30–27, 28–29, 29–28)",3.0,5:00,,Preliminary card,https://en.wikipedia.org/wiki/Jon_Madsen,https://en.wikipedia.org/wiki/Justin_Wren,7,Split Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210,2009-12-05,141,The Ultimate Fighter: Heavyweights Finale
Brian Stann,Rodney Wallace,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Heavyweights_Finale,Brian Stann,Rodney Wallace,Brian Stann,Rodney Wallace,Light Heavyweight,Brian Stann,def,Rodney Wallace,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,5:00,,Preliminary card,https://en.wikipedia.org/wiki/Brian_Stann,https://en.wikipedia.org/wiki/Rodney_Wallace_(fighter),8,Unanimous Decision,Prelim,,,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210,2009-12-05,141,The Ultimate Fighter: Heavyweights Finale
Roy Nelson,Brendan Schaub,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Heavyweights_Finale,Brendan Schaub,Roy Nelson,Roy Nelson,Brendan Schaub,Heavyweight,Roy Nelson,def,Brendan Schaub,KO (punch),1.0,3:45,,Main card,https://en.wikipedia.org/wiki/Roy_Nelson_(fighter),https://en.wikipedia.org/wiki/Brendan_Schaub,1,KO,Main Event,,,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210,2009-12-05,141,The Ultimate Fighter: Heavyweights Finale
Matt Hamill,Jon Jones,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Heavyweights_Finale,Jon Jones,Matt Hamill,Matt Hamill,Jon Jones,Light Heavyweight,Matt Hamill,def,Jon Jones,DQ (illegal downward elbows),1.0,4:14,,Main card,https://en.wikipedia.org/wiki/Matt_Hamill,https://en.wikipedia.org/wiki/Jon_Jones,2,,Main Event,,,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210,2009-12-05,141,The Ultimate Fighter: Heavyweights Finale
Kimbo Slice,Houston Alexander,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Heavyweights_Finale,Houston Alexander,Kimbo Slice,Kimbo Slice,Houston Alexander,Catchweight (215 lb),Kimbo Slice,def,Houston Alexander,"Decision (unanimous) (29–28, 29–28, 30–27)",3.0,5:00,,Main card,https://en.wikipedia.org/wiki/Kimbo_Slice,https://en.wikipedia.org/wiki/Houston_Alexander,3,Unanimous Decision,Main Event,,,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-10-finale-210,2009-12-05,141,The Ultimate Fighter: Heavyweights Finale
